event_id,sku_id,location_id,qty,minutes,worker_id,event_date
REP-0083,SKU-017,C-04,6,13.7,W-01,2026-08-03
REP-0084,SKU-009,C-02,12,5.2,W-05,2026-08-06
REP-0085,SKU-026,K-02,24,12.3,W-04,2026-08-05
REP-0086,SKU-010,A-10,12,10.1,W-04,2026-08-11
REP-0087,SKU-026,C-04,12,3.3,W-04,2026-08-16
REP-0088,SKU-007,A-09,24,17.1,W-01,2026-08-23
REP-0089,SKU-028,C-04,24,14.5,W-03,2026-08-05
REP-0090,SKU-004,A-09,24,12.6,W-03,2026-08-22
REP-0091,SKU-003,C-02,24,3.7,W-04,2026-08-26
REP-0092,SKU-026,C-08,12,15.2,W-03,2026-08-27
REP-0093,SKU-018,A-04,12,5.7,W-02,2026-08-28
REP-0094,SKU-012,K-10,12,5.8,W-01,2026-08-22
REP-0095,SKU-003,K-01,24,4.9,W-05,2026-08-16
REP-0096,SKU-015,K-05,12,16.7,W-04,2026-08-19
REP-0097,SKU-009,K-01,12,5.1,W-02,2026-08-24
REP-0098,SKU-028,A-04,6,3.4,W-05,2026-08-09
REP-0099,SKU-005,C-07,12,17.2,W-01,2026-08-14
REP-0100,SKU-014,K-01,24,18.0,W-01,2026-08-16
REP-0101,SKU-019,K-01,12,13.4,W-04,2026-08-25
REP-0102,SKU-016,A-03,24,9.1,W-02,2026-08-17
REP-0103,SKU-029,C-05,12,4.3,W-01,2026-08-15
REP-0104,SKU-030,K-06,24,4.5,W-05,2026-08-18
REP-0105,SKU-017,A-09,6,5.1,W-01,2026-08-11
REP-0106,SKU-008,C-04,6,3.7,W-02,2026-08-02
REP-0107,SKU-003,C-08,24,13.5,W-02,2026-08-25
REP-0108,SKU-014,C-04,6,11.3,W-05,2026-08-15
REP-0109,SKU-025,C-03,6,8.2,W-02,2026-08-26
REP-0110,SKU-011,A-04,12,4.6,W-03,2026-08-21
REP-0111,SKU-017,K-10,24,5.2,W-01,2026-08-21
REP-0112,SKU-009,K-01,12,11.7,W-04,2026-08-19
REP-0113,SKU-002,A-06,12,12.4,W-01,2026-08-14
REP-0114,SKU-008,K-09,12,10.8,W-02,2026-08-14
REP-0115,SKU-009,C-05,24,4.4,W-01,2026-08-11
REP-0116,SKU-024,A-07,12,9.7,W-05,2026-08-04
REP-0117,SKU-012,A-04,24,3.2,W-01,2026-08-23
REP-0118,SKU-010,C-06,6,16.6,W-02,2026-08-27
REP-0119,SKU-022,A-08,12,15.4,W-04,2026-08-15
REP-0120,SKU-013,A-04,6,15.0,W-03,2026-08-04
REP-0121,SKU-012,K-08,6,17.5,W-04,2026-08-24
REP-0122,SKU-007,A-08,24,11.7,W-05,2026-08-05
REP-0123,SKU-004,K-10,6,9.3,W-02,2026-08-17
REP-0124,SKU-030,K-02,24,6.4,W-03,2026-08-07
REP-0125,SKU-019,C-02,12,12.2,W-02,2026-08-24
REP-0126,SKU-024,K-06,24,17.3,W-03,2026-08-28
REP-0127,SKU-020,A-02,12,9.2,W-05,2026-08-06
REP-0128,SKU-021,K-06,6,9.7,W-03,2026-08-18
REP-0129,SKU-007,A-05,24,12.3,W-05,2026-08-09
REP-0130,SKU-009,K-05,12,14.7,W-02,2026-08-10
REP-0131,SKU-009,K-08,6,16.6,W-02,2026-08-19
REP-0132,SKU-007,C-03,6,13.9,W-02,2026-08-13
REP-0133,SKU-027,C-07,12,17.7,W-02,2026-08-25
REP-0134,SKU-012,A-07,24,6.8,W-05,2026-08-11
REP-0135,SKU-022,A-07,12,15.4,W-02,2026-08-12
REP-0136,SKU-023,C-09,24,12.0,W-02,2026-08-06
REP-0137,SKU-021,C-09,12,3.0,W-04,2026-08-06
REP-0138,SKU-003,C-02,6,4.6,W-03,2026-08-18
REP-0139,SKU-016,C-10,6,17.8,W-03,2026-08-26
REP-0140,SKU-012,K-01,24,14.2,W-05,2026-08-21
REP-0141,SKU-022,A-10,6,3.3,W-05,2026-08-09
REP-0142,SKU-028,K-02,24,11.8,W-04,2026-08-07
REP-0143,SKU-008,C-09,12,9.8,W-03,2026-08-09
REP-0144,SKU-028,A-07,24,14.7,W-05,2026-08-10
REP-0145,SKU-023,A-04,24,12.6,W-03,2026-08-10
REP-0146,SKU-009,C-10,6,6.5,W-01,2026-08-03
REP-0147,SKU-020,C-06,24,5.8,W-04,2026-08-11
REP-0148,SKU-030,C-04,24,5.5,W-05,2026-08-17
REP-0149,SKU-010,A-10,6,11.3,W-01,2026-08-08
REP-0150,SKU-012,K-09,12,5.0,W-04,2026-08-19
REP-0151,SKU-015,A-01,12,15.5,W-01,2026-08-21
REP-0152,SKU-011,A-01,24,3.9,W-02,2026-08-05
REP-0153,SKU-010,C-02,24,13.3,W-04,2026-08-21
REP-0154,SKU-005,K-05,12,5.6,W-04,2026-08-06
REP-0155,SKU-015,C-03,6,7.5,W-02,2026-08-18
REP-0156,SKU-011,K-04,12,8.5,W-01,2026-08-17
REP-0157,SKU-011,K-08,24,16.8,W-05,2026-08-18
REP-0158,SKU-026,K-10,6,11.5,W-05,2026-08-04
REP-0159,SKU-005,C-06,12,3.3,W-01,2026-08-04
REP-0160,SKU-006,K-07,12,7.8,W-02,2026-08-24
REP-0161,SKU-025,C-02,12,8.2,W-02,2026-08-27
REP-0162,SKU-015,C-01,12,7.6,W-05,2026-08-04
REP-0163,SKU-024,C-01,12,13.7,W-05,2026-08-13
REP-0164,SKU-022,C-09,24,11.9,W-04,2026-08-09
REP-0165,SKU-005,A-05,24,4.3,W-02,2026-08-22
REP-0166,SKU-014,A-01,24,7.2,W-05,2026-08-06
REP-0167,SKU-014,K-09,6,5.0,W-02,2026-08-04
REP-0168,SKU-022,A-08,24,12.3,W-01,2026-08-08
REP-0169,SKU-002,A-01,24,6.6,W-02,2026-08-13
REP-0170,SKU-018,A-03,24,15.9,W-05,2026-08-13
REP-0171,SKU-016,C-01,6,13.2,W-03,2026-08-18
REP-0172,SKU-024,C-01,12,9.5,W-02,2026-08-22
REP-0173,SKU-020,C-03,24,12.0,W-05,2026-08-11
REP-0174,SKU-021,A-08,24,15.7,W-02,2026-08-01
REP-0175,SKU-011,C-07,12,11.5,W-01,2026-08-21
REP-0176,SKU-016,A-02,12,4.1,W-05,2026-08-13
REP-0177,SKU-011,A-05,24,9.7,W-01,2026-08-15
REP-0178,SKU-030,K-09,12,11.7,W-05,2026-08-20
REP-0179,SKU-018,C-08,24,6.3,W-04,2026-08-03
REP-0180,SKU-014,A-09,12,13.7,W-05,2026-08-14
REP-0181,SKU-030,K-04,6,6.3,W-02,2026-08-11
REP-0182,SKU-001,C-05,12,3.8,W-05,2026-08-14
REP-0183,SKU-010,K-09,12,12.0,W-03,2026-08-25
REP-0184,SKU-024,K-03,12,9.8,W-03,2026-08-13
REP-0185,SKU-002,A-08,24,7.8,W-05,2026-08-01
REP-0186,SKU-028,K-08,6,6.5,W-03,2026-08-24
REP-0187,SKU-020,K-02,12,3.1,W-03,2026-08-12
REP-0188,SKU-013,K-02,12,8.0,W-03,2026-08-27
REP-0189,SKU-010,A-03,6,11.8,W-01,2026-08-15
REP-0190,SKU-018,K-06,6,17.0,W-01,2026-08-01
REP-0191,SKU-012,A-07,24,6.9,W-03,2026-08-09
REP-0192,SKU-018,A-02,24,7.0,W-05,2026-08-21
REP-0193,SKU-012,A-10,24,17.0,W-04,2026-08-19
REP-0194,SKU-009,A-06,12,3.4,W-03,2026-08-09
REP-0195,SKU-001,C-01,24,3.9,W-05,2026-08-23
REP-0196,SKU-017,K-08,6,11.9,W-03,2026-08-03
REP-0197,SKU-018,K-05,12,4.5,W-01,2026-08-24
REP-0198,SKU-026,C-08,6,17.5,W-05,2026-08-26
REP-0199,SKU-009,K-06,24,10.1,W-03,2026-08-14
REP-0200,SKU-020,K-10,6,4.3,W-01,2026-08-18
REP-0201,SKU-018,K-01,6,15.0,W-04,2026-08-11
REP-0202,SKU-006,C-07,24,7.4,W-02,2026-08-01
REP-0203,SKU-022,A-09,6,4.9,W-04,2026-08-26
REP-0204,SKU-019,K-03,24,3.1,W-01,2026-08-20
REP-0205,SKU-028,C-06,6,3.9,W-03,2026-08-08
REP-0206,SKU-008,K-02,12,6.1,W-01,2026-08-21
REP-0207,SKU-023,A-02,6,6.3,W-04,2026-08-19
REP-0208,SKU-004,C-07,12,17.9,W-02,2026-08-26
REP-0209,SKU-013,C-03,12,8.7,W-04,2026-08-06
REP-0210,SKU-018,A-02,12,11.4,W-04,2026-08-04
REP-0211,SKU-003,K-04,24,14.9,W-02,2026-08-03
REP-0212,SKU-020,K-07,12,17.6,W-04,2026-08-22
REP-0213,SKU-005,K-07,12,5.8,W-04,2026-08-10
REP-0214,SKU-018,A-10,24,5.4,W-03,2026-08-08
REP-0215,SKU-020,K-04,6,9.7,W-04,2026-08-17
REP-0216,SKU-016,C-09,24,14.8,W-02,2026-08-07
REP-0217,SKU-008,C-06,6,4.1,W-01,2026-08-16
REP-0218,SKU-006,K-08,24,17.5,W-04,2026-08-01
REP-0219,SKU-013,A-10,6,10.8,W-02,2026-08-01
REP-0220,SKU-017,K-03,6,14.3,W-03,2026-08-14
REP-0221,SKU-011,A-06,24,12.3,W-05,2026-08-09
REP-0222,SKU-007,A-04,12,14.2,W-05,2026-08-02
REP-0223,SKU-002,K-05,6,12.1,W-01,2026-08-01
REP-0224,SKU-025,C-09,12,14.2,W-03,2026-08-27
REP-0225,SKU-030,A-10,24,9.8,W-05,2026-08-02
REP-0226,SKU-006,K-08,12,11.6,W-05,2026-08-15
REP-0227,SKU-001,C-06,12,3.3,W-01,2026-08-15
REP-0228,SKU-027,A-09,12,15.9,W-04,2026-08-26
REP-0229,SKU-027,A-02,12,3.2,W-01,2026-08-27
REP-0230,SKU-018,K-09,6,8.9,W-02,2026-08-04
REP-0231,SKU-022,C-10,6,13.3,W-05,2026-08-14
REP-0232,SKU-023,K-10,6,17.8,W-01,2026-08-03
REP-0233,SKU-006,A-04,6,7.9,W-03,2026-08-13
REP-0234,SKU-028,A-06,12,13.0,W-05,2026-08-27
REP-0235,SKU-016,A-05,24,3.1,W-02,2026-08-11
REP-0236,SKU-014,A-08,24,17.0,W-02,2026-08-10
REP-0237,SKU-002,C-07,24,6.4,W-05,2026-08-13
REP-0238,SKU-003,A-02,6,7.7,W-01,2026-08-16
REP-0239,SKU-002,K-02,24,13.4,W-01,2026-08-07
REP-0240,SKU-002,K-03,24,10.9,W-05,2026-08-19
REP-0241,SKU-014,C-04,12,8.2,W-03,2026-08-21
REP-0242,SKU-015,A-08,12,17.4,W-04,2026-08-02
REP-0243,SKU-028,C-04,24,6.4,W-03,2026-08-19
REP-0244,SKU-022,K-10,24,14.9,W-05,2026-08-12
REP-0245,SKU-021,A-09,24,4.9,W-01,2026-08-08
REP-0246,SKU-024,K-03,6,5.4,W-02,2026-08-01
REP-0247,SKU-018,C-06,12,15.3,W-04,2026-08-01
REP-0248,SKU-027,C-04,12,5.0,W-03,2026-08-12
REP-0249,SKU-011,C-03,6,10.6,W-03,2026-08-24
REP-0250,SKU-020,C-01,24,6.5,W-04,2026-08-15
REP-0251,SKU-022,A-08,6,4.8,W-05,2026-08-15
REP-0252,SKU-018,A-01,12,5.8,W-05,2026-08-22
REP-0253,SKU-007,K-10,24,15.1,W-05,2026-08-03
REP-0254,SKU-022,A-04,24,16.0,W-03,2026-08-03
REP-0255,SKU-029,A-03,12,8.2,W-02,2026-08-19
REP-0256,SKU-028,C-05,6,6.9,W-05,2026-08-04
REP-0257,SKU-022,C-04,12,8.7,W-01,2026-08-14
REP-0258,SKU-026,K-03,6,5.0,W-03,2026-08-05
REP-0259,SKU-021,K-03,24,14.7,W-02,2026-08-16
REP-0260,SKU-018,A-04,6,5.8,W-04,2026-08-03
REP-0261,SKU-016,C-06,24,12.9,W-02,2026-08-03
REP-0262,SKU-019,K-01,6,13.1,W-05,2026-08-19
REP-0263,SKU-020,A-02,12,6.6,W-05,2026-08-14
REP-0264,SKU-017,C-06,24,8.9,W-04,2026-08-18
REP-0265,SKU-018,K-03,24,11.1,W-01,2026-08-10
REP-0266,SKU-025,A-04,6,11.5,W-04,2026-08-08
REP-0267,SKU-014,C-04,24,13.6,W-04,2026-08-26
REP-0268,SKU-014,C-05,24,7.5,W-04,2026-08-26
REP-0269,SKU-024,C-08,24,17.1,W-04,2026-08-16
REP-0270,SKU-012,K-01,24,10.1,W-05,2026-08-27
REP-0271,SKU-010,C-02,12,10.3,W-01,2026-08-06
REP-0272,SKU-015,C-06,12,10.5,W-05,2026-08-11
REP-0273,SKU-013,K-03,12,3.3,W-05,2026-08-03
REP-0274,SKU-012,C-03,12,14.7,W-03,2026-08-24
REP-0275,SKU-014,C-10,6,5.2,W-02,2026-08-12
REP-0276,SKU-008,C-06,12,5.0,W-05,2026-08-15
REP-0277,SKU-019,K-09,6,12.6,W-05,2026-08-27
REP-0278,SKU-027,A-06,24,3.5,W-02,2026-08-18
REP-0279,SKU-019,K-02,24,7.6,W-04,2026-08-21
REP-0280,SKU-016,C-07,24,8.5,W-03,2026-08-17
REP-0281,SKU-029,A-04,12,7.1,W-04,2026-08-24
REP-0282,SKU-018,A-04,12,14.9,W-01,2026-08-14
REP-0283,SKU-017,K-05,6,4.8,W-01,2026-08-12
REP-0284,SKU-016,A-08,6,16.4,W-04,2026-08-12
REP-0285,SKU-009,A-08,6,3.7,W-02,2026-08-23
REP-0286,SKU-028,A-10,12,15.9,W-02,2026-08-08
REP-0287,SKU-016,C-08,6,4.6,W-03,2026-08-24
REP-0288,SKU-030,K-04,24,15.7,W-03,2026-08-28
REP-0289,SKU-004,C-10,6,6.8,W-02,2026-08-08
REP-0290,SKU-021,A-10,24,16.7,W-04,2026-08-05
REP-0291,SKU-016,A-03,6,13.8,W-05,2026-08-12
REP-0292,SKU-010,C-01,12,17.8,W-01,2026-08-08
REP-0293,SKU-013,C-08,6,6.8,W-01,2026-08-05
REP-0294,SKU-008,K-04,12,5.5,W-03,2026-08-15
REP-0295,SKU-011,K-07,6,5.8,W-03,2026-08-13
REP-0296,SKU-001,K-08,6,4.0,W-01,2026-08-14
REP-0297,SKU-030,A-04,24,16.2,W-02,2026-08-08
REP-0298,SKU-002,C-02,24,4.1,W-04,2026-08-17
REP-0299,SKU-012,A-01,24,4.9,W-05,2026-08-04
REP-0300,SKU-016,K-08,12,4.4,W-03,2026-08-23
